  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -7.500  -0.7946   0.02308   0.01337  -0.0072   1.0000   0.0913
  -7.250  -0.7753   0.02235   0.01257  -0.0059   1.0000   0.0993
  -7.000  -0.7571   0.02157   0.01185  -0.0045   1.0000   0.1083
  -6.750  -0.7385   0.02085   0.01115  -0.0030   1.0000   0.1189
  -6.500  -0.7196   0.02017   0.01051  -0.0016   1.0000   0.1316
  -6.250  -0.7005   0.01953   0.00992  -0.0002   1.0000   0.1470
  -6.000  -0.6813   0.01892   0.00936   0.0012   1.0000   0.1653
  -5.750  -0.6617   0.01835   0.00887   0.0025   1.0000   0.1867
  -5.500  -0.6423   0.01779   0.00842   0.0038   1.0000   0.2113
  -5.250  -0.6226   0.01728   0.00803   0.0051   1.0000   0.2383
  -5.000  -0.6027   0.01681   0.00766   0.0064   1.0000   0.2677
  -4.750  -0.5826   0.01637   0.00735   0.0077   1.0000   0.2988
  -4.500  -0.5623   0.01598   0.00708   0.0090   1.0000   0.3309
  -4.250  -0.5419   0.01562   0.00684   0.0103   1.0000   0.3635
  -4.000  -0.5212   0.01530   0.00665   0.0115   1.0000   0.3966
  -3.750  -0.5004   0.01501   0.00649   0.0127   1.0000   0.4296
  -3.500  -0.4793   0.01476   0.00636   0.0139   1.0000   0.4626
  -3.250  -0.4580   0.01454   0.00625   0.0151   1.0000   0.4955
  -3.000  -0.4365   0.01435   0.00619   0.0162   1.0000   0.5284
  -2.750  -0.4120   0.01419   0.00616   0.0168   0.9987   0.5620
  -2.500  -0.3736   0.01405   0.00614   0.0146   0.9910   0.5999
  -2.250  -0.3346   0.01394   0.00616   0.0124   0.9831   0.6367
  -2.000  -0.2976   0.01384   0.00616   0.0107   0.9737   0.6713
  -1.750  -0.2601   0.01376   0.00618   0.0091   0.9644   0.7043
  -1.500  -0.2196   0.01370   0.00622   0.0069   0.9562   0.7357
  -1.250  -0.1837   0.01365   0.00624   0.0057   0.9448   0.7644
  -1.000  -0.1475   0.01362   0.00626   0.0046   0.9332   0.7918
  -0.750  -0.1093   0.01360   0.00630   0.0031   0.9219   0.8157
  -0.500  -0.0724   0.01359   0.00631   0.0020   0.9087   0.8382
  -0.250  -0.0370   0.01358   0.00632   0.0011   0.8932   0.8589
   0.000   0.0000   0.01358   0.00633   0.0000   0.8767   0.8767
   0.250   0.0370   0.01358   0.00632  -0.0011   0.8589   0.8932
   0.500   0.0724   0.01359   0.00631  -0.0020   0.8382   0.9087
   0.750   0.1093   0.01360   0.00630  -0.0031   0.8157   0.9219
   1.000   0.1475   0.01362   0.00626  -0.0046   0.7918   0.9332
   1.250   0.1837   0.01365   0.00624  -0.0057   0.7644   0.9448
   1.500   0.2196   0.01370   0.00622  -0.0069   0.7358   0.9562
   1.750   0.2601   0.01376   0.00618  -0.0091   0.7043   0.9644
   2.000   0.2976   0.01383   0.00615  -0.0107   0.6713   0.9737
   2.250   0.3346   0.01394   0.00616  -0.0124   0.6367   0.9832
   2.500   0.3736   0.01405   0.00614  -0.0146   0.5999   0.9910
   2.750   0.4120   0.01419   0.00616  -0.0168   0.5620   0.9987
   3.000   0.4365   0.01435   0.00619  -0.0162   0.5284   1.0000
   3.250   0.4579   0.01454   0.00625  -0.0151   0.4956   1.0000
   3.500   0.4792   0.01476   0.00636  -0.0139   0.4627   1.0000
   3.750   0.5003   0.01501   0.00648  -0.0127   0.4297   1.0000
   4.000   0.5212   0.01530   0.00664  -0.0115   0.3967   1.0000
   4.250   0.5418   0.01562   0.00684  -0.0103   0.3636   1.0000
   4.500   0.5623   0.01598   0.00708  -0.0090   0.3309   1.0000
   4.750   0.5825   0.01637   0.00735  -0.0077   0.2989   1.0000
   5.000   0.6026   0.01680   0.00766  -0.0064   0.2678   1.0000
   5.250   0.6225   0.01727   0.00802  -0.0051   0.2383   1.0000
   5.500   0.6422   0.01779   0.00842  -0.0038   0.2113   1.0000
   5.750   0.6617   0.01835   0.00886  -0.0025   0.1868   1.0000
   6.000   0.6812   0.01892   0.00936  -0.0012   0.1653   1.0000
   6.250   0.7005   0.01953   0.00991   0.0002   0.1470   1.0000
   6.500   0.7195   0.02017   0.01051   0.0016   0.1316   1.0000
   6.750   0.7385   0.02085   0.01115   0.0030   0.1189   1.0000
   7.000   0.7571   0.02157   0.01184   0.0045   0.1083   1.0000
   7.250   0.7753   0.02235   0.01257   0.0059   0.0993   1.0000
   7.500   0.7946   0.02308   0.01337   0.0072   0.0913   1.0000
   7.750   0.8125   0.02394   0.01419   0.0086   0.0850   1.0000
   8.000   0.8315   0.02476   0.01510   0.0100   0.0790   1.0000
   8.250   0.8489   0.02571   0.01601   0.0113   0.0744   1.0000
   8.500   0.8678   0.02662   0.01706   0.0126   0.0697   1.0000
   8.750   0.8855   0.02758   0.01803   0.0139   0.0660   1.0000
   9.000   0.9031   0.02869   0.01922   0.0152   0.0626   1.0000
   9.250   0.9210   0.02978   0.02043   0.0165   0.0592   1.0000
   9.500   0.9379   0.03089   0.02157   0.0177   0.0567   1.0000
   9.750   0.9542   0.03220   0.02292   0.0190   0.0544   1.0000
  10.000   0.9703   0.03354   0.02451   0.0203   0.0518   1.0000
  10.250   0.9853   0.03484   0.02594   0.0216   0.0497   1.0000
  10.500   0.9999   0.03620   0.02733   0.0229   0.0481   1.0000
  10.750   1.0133   0.03783   0.02903   0.0242   0.0467   1.0000
  11.000   1.0227   0.03972   0.03125   0.0259   0.0450   1.0000
  11.250   1.0305   0.04152   0.03330   0.0276   0.0434   1.0000
  11.500   1.0363   0.04320   0.03513   0.0295   0.0422   1.0000
  11.750   1.0408   0.04492   0.03696   0.0313   0.0412   1.0000
  12.000   1.0454   0.04682   0.03893   0.0329   0.0405   1.0000
  12.250   1.0447   0.04928   0.04154   0.0344   0.0399   1.0000
  12.500   1.0338   0.05256   0.04517   0.0357   0.0394   1.0000
  12.750   1.0198   0.05638   0.04931   0.0359   0.0389   1.0000
  13.000   1.0026   0.06093   0.05415   0.0350   0.0385   1.0000
  13.250   0.9817   0.06649   0.05999   0.0326   0.0383   1.0000
  13.500   0.9556   0.07354   0.06731   0.0285   0.0383   1.0000
  13.750   0.9215   0.08293   0.07695   0.0221   0.0386   1.0000
  14.000   0.8751   0.09617   0.09041   0.0128   0.0392   1.0000
